min_long,min_lat,max_long,max_lat,commercial,education,entertainment,financial,food,government,health,hotel,office,scenic,sports,transport,label,checkins
121.32718719495698,30.706372864236755,121.33764691040047,30.715366080295944,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Shanghai,0.0
121.33764691040047,30.706372864236755,121.34810662584395,30.715366080295944,0.0,0.0,1.0,0.0,5.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,Shanghai,13.0
121.31677039176107,30.715366080295944,121.32723108248291,30.724359296355132,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai,0.0
121.32723108248291,30.715366080295944,121.33769177320475,30.724359296355132,0.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,Shanghai,3.0
121.33769177320475,30.715366080295944,121.3481524639266,30.724359296355132,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Shanghai,0.0
121.30635165691363,30.724359296355132,121.31681332335349,30.73335251241432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Shanghai,0.0
121.31681332335349,30.724359296355132,121.32727498979334,30.73335251241432,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,Shanghai,0.0
121.32727498979334,30.724359296355132,121.33773665623319,30.73335251241432,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,Shanghai,1.0
121.33773665623319,30.724359296355132,121.34819832267304,30.73335251241432,1.0,1.0,0.0,0.0,13.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,Shanghai,3.0
121.34819832267304,30.724359296355132,121.3586599891129,30.73335251241432,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,Shanghai,0.0
121.3586599891129,30.724359296355132,121.36912165555275,30.73335251241432,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Shanghai,8.0
121.36912165555275,30.724359296355132,121.3795833219926,30.73335251241432,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Shanghai,0.0
121.31685627429825,30.73335251241432,121.32731891689593,30.74234572847351,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai,0.0
121.32731891689593,30.73335251241432,121.33778155949362,30.74234572847351,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,Shanghai,0.0
121.33778155949362,30.73335251241432,121.34824420209131,30.74234572847351,0.0,0.0,1.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Shanghai,1.0
121.34824420209131,30.73335251241432,121.358706844689,30.74234572847351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Shanghai,0.0
121.36916948728668,30.73335251241432,121.37963212988437,30.74234572847351,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Shanghai,0.0
121.30643562540733,30.74234572847351,121.31689924460285,30.751338944532698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Shanghai,0.0
121.32736286379837,30.74234572847351,121.33782648299389,30.751338944532698,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai,0.0
121.33782648299389,30.74234572847351,121.34829010218941,30.751338944532698,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai,0.0
121.35875372138493,30.74234572847351,121.36921734058045,30.751338944532698,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai,0.0
121.28554844557425,30.751338944532698,121.29601304180777,30.760332160591886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Shanghai,0.0
121.3169422342748,30.751338944532698,121.32740683050832,30.760332160591886,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Shanghai,0.0
121.32740683050832,30.751338944532698,121.33787142674184,30.760332160591886,3.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Shanghai,0.0
121.33787142674184,30.751338944532698,121.34833602297536,30.760332160591886,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Shanghai,0.0
121.96574720075294,30.751338944532698,121.97621179698646,30.760332160591886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Shanghai,1.0
121.34838196445718,30.760332160591886,121.35884753816903,30.769325376651075,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Shanghai,1.0
121.35884753816903,30.760332160591886,121.36931311188089,30.769325376651075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Shanghai,0.0
121.2437624103364,30.769325376651075,121.25422896196712,30.778318592710264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,Shanghai,0.0
121.32749482338211,30.769325376651075,121.33796137501282,30.778318592710264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Shanghai,0.0
121.14959083972703,30.778318592710264,121.16005836971728,30.787311808769452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,Shanghai,0.0
121.18099342969778,30.778318592710264,121.19146095968803,30.787311808769452,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Shanghai,0.0
121.31707131957104,30.778318592710264,121.3275388495613,30.787311808769452,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Shanghai,0.0
121.3275388495613,30.778318592710264,121.33800637955154,30.787311808769452,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shanghai,0.0
121.4112790894833,30.778318592710264,121.42174661947355,30.787311808769452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Shanghai,0.0
121.9451231189861,30.778318592710264,121.95559064897635,30.787311808769452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Shanghai,0.0
